X;Y;Z;Target
0.38;-0.34;-9.35;1
0.38;-0.34;-9.35;1
0.38;-0.34;-9.35;1
0.38;-0.34;-9.35;1
0.38;-0.34;-9.35;1
0.38;-0.34;-9.35;1
0.38;-0.34;-9.35;1
0.38;-0.34;-9.35;1
0.38;-0.34;-9.35;1
0.38;-0.34;-9.35;1
0.38;-0.34;-9.35;1
0.38;-0.34;-9.35;1
0.38;-0.34;-9.35;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.34;-0.11;-9.42;1
0.11;-0.34;-9.31;1
0.11;-0.34;-9.31;1
0.11;-0.34;-9.31;1
0.11;-0.34;-9.31;1
0.11;-0.34;-9.31;1
0.11;-0.34;-9.31;1
0.11;-0.34;-9.31;1
0.11;-0.34;-9.31;1
0.11;-0.34;-9.31;1
0.11;-0.34;-9.31;1
0.11;-0.34;-9.31;1
0.11;-0.34;-9.31;1
0.11;-0.34;-9.31;1
0.11;-0.34;-9.31;1
0.11;-0.34;-9.31;1
0.11;-0.34;-9.31;1
0.11;-0.34;-9.31;1
0.11;-0.34;-9.31;1
0.11;-0.34;-9.31;1
0.15;-0.38;-9.31;1
0.15;-0.38;-9.31;1
0.15;-0.38;-9.31;1
0.15;-0.38;-9.31;1
0.15;-0.38;-9.31;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.23;-0.31;-9.35;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.27;-9.50;1
0.27;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
0.19;-0.31;-9.27;1
